Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
IMPERIAL;0.91;3382;79.87;0.859;8.85;2.37;0.329;174498.22;234.02;45.54;46.01;12.57;20.62;36.39;164.05;60.96;49.67;71.65;47.91;98.18;6.61;11.43;3.66;195;0.121;0.417;0.462
IBIZA;2.13;4884;88.66;0.711;25.37;2.31;0.363;260166.31;433.91;46.97;46.67;12.39;24.89;40.35;200.98;49.76;59.44;76.57;40.17;117.26;9.21;15.27;4.85;348;0.097;0.381;0.522
HORCAJO;0.01;2269;91.59;0.941;1.58;2.95;0.18;185679.02;86.27;37.93;42.21;20.54;7.52;29.55;36.61;273.14;39.01;57.45;168.63;56.86;3.71;8.66;2.21;41;0.123;0.467;0.41
HISPANOAMÉRICA;0.4;4473;105.7;0.671;11.01;2.55;0.323;314469.38;182.46;45.9;45.95;14.96;24.65;39.26;164.81;60.68;65.59;75.76;53.28;108.27;6.73;12.58;3.62;348;0.066;0.337;0.597
HELLÍN;0.05;2489;83.58;1;1.76;2.4;0.32;83837.89;160.38;48.14;48.56;12.08;26.08;60.31;215.84;46.33;61.72;75.85;72.13;93.33;9.05;17.51;6.44;179;0.353;0.554;0.093
GUINDALERA;1.1;3640;86.32;0.75;13.75;2.35;0.356;216548.09;253.65;46.91;46.31;11.45;24.92;42.47;217.59;45.96;57.16;86.84;51.48;107.3;9.3;15.7;5.45;575;0.086;0.382;0.532
GOYA;2.86;5385;91.12;0.621;33.1;2.24;0.395;276417.96;380.02;46.25;45.54;11.16;23.6;36.85;211.41;47.3;53.29;89.01;42.5;131.01;11.77;19.14;6.15;526;0.077;0.358;0.565
GAZTAMBIDE;2.59;3929;85.69;0.74;37.38;2.19;0.406;230182.12;442.39;47.46;46.68;9.75;25.67;39.87;263.2;37.99;54.84;95.51;39.51;118.44;10.32;17.12;5.92;388;0.09;0.355;0.555
FUENTELARREINA;0.01;3174;160.73;0.63;0.2;2.92;0.231;228733.71;23.12;45.45;46.89;15.83;26.22;30.19;165.61;60.38;72.57;76.05;80.2;84.24;7.48;14.39;4.13;30;0.055;0.311;0.633
FUENTE DEL BERRO;0.77;3793;77.98;0.768;13.83;2.26;0.377;188135.74;241.44;46.9;46.19;11.38;24.77;38.49;217.68;45.94;56.6;83.41;43.33;97.75;10.74;18.03;6.14;332;0.107;0.412;0.481
FONTARRÓN;0.26;1998;69.75;0.801;3.74;2.46;0.3;99302.52;173.16;47.64;47.35;12.45;27.59;43.29;221.54;45.14;66.78;76.91;71.71;85.47;11.61;21.54;7.77;224;0.271;0.543;0.186
ESTRELLA;0.21;3662;110.06;0.718;4.91;2.69;0.235;241884.3;225.86;48.24;49.46;12.82;30;29.89;234.02;42.73;74.87;74.47;43.46;94.61;3.57;7.48;1.9;179;0.08;0.363;0.557
ENTREVÍAS;0.02;1279;76.85;0.937;2.36;2.66;0.263;78167.25;56.16;43.92;44.05;14.82;20.34;41.69;137.22;72.88;54.22;81.73;76.76;90.33;12.32;18.95;8.75;362;0.408;0.523;0.069
EMBAJADORES;16.48;4017;56.08;0.819;38.08;2.05;0.475;164310.38;431.74;42.85;40.78;9.23;14.54;38.09;157.45;63.51;31.18;105.44;45.54;116.45;24.57;33.26;16.02;981;0.168;0.428;0.404
EL VISO;0.29;5241;155.25;0.563;8.83;2.82;0.291;701246.37;99.82;44.17;44.16;14.49;21.3;37.18;147.01;68.02;55.74;86.66;60.04;127.75;10.81;17.43;5.95;187;0.056;0.321;0.623
EL SALVADOR;0.08;3265;115.51;0.667;1.91;2.67;0.246;238342.6;60.51;44.92;47.93;13.19;19.5;33.66;147.83;67.64;48.58;66.02;75;93.02;7.01;12.05;3.4;76;0.109;0.434;0.457
EL PLANTÍO;0.01;3915;182.48;0.244;1.22;3.28;0.166;584908.6;7.71;41.82;43.09;20.33;19.19;27.97;94.39;105.94;65.35;72.61;60.23;88.7;7.43;13.6;4.23;25;0.076;0.315;0.609
EL PARDO;0.02;3174;95.56;0.989;0.01;2.62;0.298;142012.51;0.18;47.88;47.24;11.46;26.58;46.56;231.88;43.13;61.39;79.9;45.32;114.41;2.98;5.51;1.77;32;0.223;0.563;0.215
EL GOLOSO;0.01;3174;114.53;0.773;0.17;3.28;0.21;268211.08;6.57;32.58;36.07;33.43;8.36;53.64;25.01;399.86;71.8;81.49;182.04;105.84;4.81;8.19;2.01;335;0.079;0.291;0.629
DELICIAS;1.21;3566;82.61;0.855;9.05;2.39;0.338;209692.97;258.5;42.64;42.51;14.95;16.68;35.77;111.55;89.64;46.28;79.57;55.61;109;10.67;18.12;7.31;454;0.115;0.428;0.457
CUATRO VIENTOS;0.24;1977;96.44;0.59;0.37;2.61;0.321;165422.99;10.07;34.94;37.79;23.7;6.51;24.44;27.47;364.04;43.29;85.69;116.34;112.56;5.58;10.94;3.47;34;0.106;0.526;0.368
CUATRO CAMINOS;1.06;3841;84.47;0.553;28.9;2.29;0.386;207319.69;286.39;45.91;44.58;10.99;23.06;38.01;209.73;47.68;51.63;95.53;43.26;117.08;13.8;22.54;10.2;575;0.105;0.402;0.493
COSTILLARES;0.2;3648;110.77;0.635;4.11;2.79;0.236;261702.33;153.73;43.21;44.72;16.75;20.71;26.61;123.59;80.92;59.9;73.78;89.36;86.49;4.79;10.01;2.36;148;0.061;0.325;0.614
CORTES;12.06;4842;91.92;0.692;29.85;1.95;0.499;248911.18;177.76;44.99;43.31;7.56;16.85;35.48;223.02;44.84;32.29;91.87;29.94;139.35;20.89;29.82;8.74;288;0.102;0.381;0.517
CORRALEJOS;0.01;2993;116.75;0.279;0.82;2.95;0.202;238743.11;15.74;36.6;40.62;26.93;10.05;31.71;37.33;267.88;58.7;51.76;141.41;75.94;6.55;11.25;2.25;72;0.072;0.319;0.609
CONCEPCIÓN;0.46;2448;64.86;0.823;17.19;2.29;0.369;140870.7;231.76;46.89;46.84;12.69;24.52;44.69;193.28;51.74;59.26;76.29;52.09;96.25;12.37;21.2;7.85;276;0.148;0.497;0.354
COMILLAS;0.89;2273;66.47;0.841;20.25;2.35;0.346;117626.64;331.62;46.67;46.22;11.56;24.49;39.02;211.91;47.19;56.37;85.23;48.05;102.84;16.09;26.26;11.73;194;0.224;0.552;0.224
COLINA;0.27;2724;96.18;0.82;6.54;2.47;0.315;281069.08;109.38;44.9;45.53;15.45;22.95;30.68;148.52;67.33;62.34;70.02;58.13;97.39;9.59;15.93;4.9;77;0.082;0.357;0.562
CIUDAD UNIVERSITARIA;0.02;3470;107.13;0.875;0.57;2.65;0.307;431075.95;11.26;46.01;46.13;12.91;25.3;33.85;196.04;51.01;61.84;89.76;59.24;95.02;9.49;14.81;6.58;159;0.074;0.316;0.61
CIUDAD JARDÍN;0.72;3924;79.11;0.73;19.51;2.35;0.356;221773.04;240.31;45.87;45.29;12.47;23.17;37.5;185.78;53.83;55.39;83.92;43.73;112.48;10.98;18.76;7.27;268;0.098;0.409;0.494
CHOPERA;1.76;3340;68.67;0.819;15.76;2.35;0.345;138885.8;348.09;46.6;45.67;10.83;23.4;39.83;216.12;46.27;52.04;85.75;41.47;132.58;13;23.03;10.04;262;0.166;0.51;0.324
CASTILLEJOS;1.06;3745;87.12;0.578;26.31;2.19;0.403;238703.83;283.56;46.86;45.61;9.98;24.25;38.02;242.86;41.18;52.05;94.18;40.36;120.67;14.23;22.36;10.18;389;0.102;0.4;0.498
CASTILLA;0.13;3590;108.89;0.556;4.45;2.55;0.316;240972.52;76.8;45.26;45.24;13.02;22.47;39.72;172.56;57.95;55.01;89.39;55.93;94.25;7.96;13.76;4.51;140;0.08;0.336;0.584
CASTELLANA;1.19;6448;127.95;0.422;29.52;2.47;0.381;471566.84;220.02;45.14;44.17;12;22.73;36.38;189.37;52.81;53.2;100.38;46.9;117.73;15.47;23.28;8.62;273;0.061;0.327;0.612
CASCO HISTÓRICO DE VICÁLVARO;0.01;2147;60.66;0.853;0.62;2.82;0.211;122089.78;15.71;38.34;41.22;21.59;10.99;28.01;50.9;196.47;48.33;60.92;126.66;67.44;9.36;13.94;5.16;343;0.18;0.541;0.28
CASCO HISTÓRICO DE VALLECAS;0.01;1731;69.14;0.633;1.05;2.55;0.297;110707.08;16.26;36.4;37.39;21.78;9.98;32.45;45.81;218.27;46.54;105.41;100.12;122.15;11.12;17.34;7.26;524;0.202;0.55;0.248
CASCO HISTÓRICO DE BARAJAS;0.49;2993;69.7;0.902;9.47;2.4;0.314;124499.02;133.11;44.26;43.2;11.72;18.28;36.28;156.01;64.1;42.86;88.2;40.8;118.01;16.87;25.68;9.72;69;0.23;0.597;0.174
CASA DE CAMPO;0.04;3469;81.28;0.671;0.42;2.32;0.358;170746.18;7.35;48.17;49.04;10.55;25.03;44.74;237.2;42.16;55.23;70.35;47.81;119.44;7.69;12.67;4.01;134;0.129;0.412;0.459
CANILLEJAS;0.04;2033;78.67;0.892;8.98;2.62;0.25;117853.16;177.9;45.52;45.72;12.89;22.95;33.15;178;56.18;55.85;79.11;59.68;93.61;13.25;20.82;7.74;272;0.256;0.552;0.192
CANILLAS;0.14;2713;89.42;0.752;7.93;2.55;0.252;191232.65;160.55;46.92;47.82;12.32;25.93;29.38;210.53;47.5;61.93;74.51;52.25;95.67;7.91;13.02;4.45;314;0.202;0.485;0.313
CAMPAMENTO;0.03;1949;77.29;0.817;0.83;2.58;0.277;109241.09;20.42;45.93;45.64;12.71;24.05;34.18;189.27;52.84;58.11;82.61;51.72;98.31;16.3;24.46;11.26;201;0.224;0.54;0.236
BUTARQUE;0.01;1840;75.47;0.991;0.53;2.82;0.21;85467.54;27.05;35.48;38.25;24.84;8.56;24.17;34.49;289.98;50.15;77.13;100.73;75.21;11.99;19.47;8;118;0.173;0.624;0.204
BUENAVISTA;0.04;1643;68.92;0.729;3.8;2.71;0.248;114460.05;80.61;38.97;40.77;21.29;13.9;32.52;65.3;153.14;54.31;69.94;113.72;79.69;11.15;17.6;7.1;450;0.192;0.573;0.235
BERRUGUETE;0.92;2712;60.44;0.933;24.05;2.41;0.362;115444.97;400.52;42.61;41.58;13.46;17.01;39.89;126.41;79.11;43.82;93.57;65.09;106.16;21.8;33.66;18.03;322;0.183;0.533;0.284
BELLAS VISTAS;1.05;2753;61.69;0.887;23.74;2.44;0.369;126683.64;396.54;43.49;42;12.52;18.65;37.63;148.99;67.12;45.28;98.47;54.19;108.17;21.44;34.32;17.72;363;0.171;0.507;0.322
ATOCHA;0.2;3529;76.25;0.21;3.82;2.64;0.269;181652.48;15.07;37.94;41.07;22.27;9.38;25.96;42.11;237.5;46.31;61.28;87.72;91.89;4.06;9.02;1.98;4;0.109;0.531;0.36
ATALAYA;0.04;4979;129.84;0.617;2.41;2.76;0.299;154708.65;62.76;43.88;45.17;17.09;22.47;28.49;131.46;76.07;65.47;70.09;75.82;98.73;9.99;15.36;4.67;19;0.048;0.369;0.583
ARGÜELLES;3.72;4528;105.76;0.61;25.46;2.31;0.384;289869.53;315.91;47.21;46.56;10.24;24.97;38.72;243.82;41.01;54.35;87.16;40.55;118.18;11.94;18.69;7.05;382;0.083;0.35;0.567
ARCOS;0.11;1817;72.47;0.673;2.95;2.67;0.26;121653.85;181.96;43.19;44.1;16.46;18.5;44.71;112.35;89.01;53.76;66.98;95.63;83.62;8.13;15.57;5.47;247;0.291;0.548;0.16
ARAVACA;0.04;3824;132.6;0.758;1.3;3.12;0.198;438244.02;44.05;39.25;41.03;21.14;14.02;26.57;66.3;150.83;54.22;72.52;107;83.42;9.21;14.26;4.34;600;0.084;0.316;0.6
ARAPILES;2.85;4530;82.71;0.641;30.14;2.19;0.405;226079.19;418.16;46.4;45.01;10.85;24.19;37.89;222.99;44.85;53.94;96.09;41.8;113.91;10.51;17.75;5.88;335;0.1;0.37;0.53
APÓSTOL SANTIAGO;0.12;2269;94.5;0.923;2.92;2.64;0.262;172647.02;125.92;45.26;46.69;12.94;20.98;37.73;162.15;61.67;51.32;71.01;75.45;90.34;7.25;14.3;4.55;102;0.175;0.525;0.3
ÁNGELES;0.08;1551;74.31;0.882;4.48;2.56;0.262;125206.42;156.31;47.5;47.98;12.39;27.37;38.3;220.83;45.28;66;76.67;60.02;86.86;13.49;22.37;10.21;259;0.302;0.552;0.147
AMPOSTA;0.03;2075;59.11;0.762;11.37;2.47;0.318;69550.63;221.61;44.91;44.79;14.54;21.85;52.76;150.29;66.54;57.21;84.61;76.61;94.46;12.33;23.18;9.27;151;0.348;0.566;0.086
AMBROZ;0.01;1611;70.03;0.934;0.56;2.55;0.264;111498.4;75.95;45.18;44.68;14.21;24.51;35.87;172.52;57.96;63.17;85.27;93.07;84.44;15.98;23.61;7.47;535;0.354;0.547;0.099
ALUCHE;0.14;1953;71.17;0.885;9.09;2.48;0.271;108055.45;229.16;48.42;48.5;11.51;30.37;29.13;263.86;37.9;72.08;79.06;56.7;95.04;13.85;22.1;9.34;652;0.252;0.533;0.215
ALMENDRALES;0.58;1829;71.13;0.786;14.54;2.73;0.286;103594.38;263.09;42.28;41.88;15.16;17.36;44.81;114.52;87.32;48.21;86.64;90.88;94.66;25.14;37.05;22.2;208;0.286;0.569;0.145
ALMENARA;0.58;2729;82.75;0.856;14.68;2.41;0.348;144459.85;219.96;44.93;43.82;12.42;20.84;47.36;167.77;59.61;49.82;91.42;65.99;101.46;12.41;21.89;9.78;310;0.245;0.485;0.269
ALMAGRO;1.74;5676;136.35;0.465;23.96;2.47;0.377;505961.91;210.01;46.08;45.62;12.09;23.82;37.86;197.1;50.74;56.04;87.24;53.48;115.93;12.61;20.32;6.65;291;0.067;0.341;0.592
ALAMEDA DE OSUNA;0.11;2884;99.82;0.736;2.42;2.73;0.205;206590.93;98.39;43.88;44.64;17.4;23.9;16.03;137.39;72.79;70.37;70.52;59.17;89.74;5.36;10.76;2.24;158;0.07;0.441;0.489
ÁGUILAS;0.04;1861;73.64;0.691;4.21;2.47;0.266;131822.93;141.15;47.89;48.38;12.21;28.35;30.72;232.11;43.08;68.23;69.62;60.32;93.51;9.85;16.1;6.52;471;0.276;0.539;0.184
AEROPUERTO;0.2;3291;58.06;0.32;0.23;2.65;0.289;178100.56;0.6;41.6;41.71;15.13;15.08;44.98;99.63;100.37;43.29;83.36;89.02;88.54;18.05;26.96;12.72;18;0.29;0.609;0.101
ADELFAS;0.75;3621;85.45;0.85;7.93;2.43;0.314;188392.84;283.23;44.63;44.59;13.74;20.12;32.31;146.49;68.26;51.19;76.4;40.44;108.08;6.54;11.16;3.96;251;0.116;0.408;0.476
ACACIAS;1.29;3724;72.88;0.859;12.69;2.4;0.319;173656.9;341.57;45.84;46.45;11.31;21.34;31.75;188.76;52.98;48.48;80.08;44.39;107.07;6.42;10.86;3.83;66;0.122;0.397;0.481
ABRANTES;0.12;1644;73.1;0.884;5.96;2.72;0.262;97425.65;187.74;42.56;42.91;17.09;18.73;38.51;109.64;91.2;55.82;74.29;78.08;82.82;16.33;26.87;12.66;153;0.258;0.569;0.173
ENSANCHE DE VALLECAS;0.01;1821;67.53;0.668;7.4;2.44;0.327;95392.62;68.78;32.73;36.3;25.2;4.05;28.16;16.06;622.78;41.34;107.76;122.58;127.9;8.6;14.97;5.57;2693;0.08;0.532;0.388
CHAMBERÍ;1.96;4811;87.39;0.643;23.31;2.25;0.397;290758.04;293.64;46.49;45.43;11.11;24.24;38.53;218.21;45.83;54.67;92.14;43.12;110.82;10.41;17.26;5.69;2111;0.084;0.351;0.565
